Country;Month;Year;Purpose;Visitors;Date
Australia;10;2017;Holiday;35632;2017-10-01
Australia;10;2017;Visiting friends & relatives;38864;2017-10-01
Australia;10;2017;Business;16992;2017-10-01
Australia;10;2017;Education;384;2017-10-01
Australia;10;2017;Conferences & conventions;4864;2017-10-01
Australia;10;2016;Holiday;40400;2016-10-01
Australia;10;2016;Visiting friends & relatives;39024;2016-10-01
Australia;10;2016;Business;15984;2016-10-01
Australia;10;2016;Education;608;2016-10-01
Australia;10;2016;Conferences & conventions;4128;2016-10-01
Australia;10;2015;Holiday;34272;2015-10-01
Australia;10;2015;Visiting friends & relatives;41536;2015-10-01
Australia;10;2015;Business;14096;2015-10-01
Australia;10;2015;Education;400;2015-10-01
Australia;10;2015;Conferences & conventions;5312;2015-10-01
Australia;10;2014;Holiday;31072;2014-10-01
Australia;10;2014;Visiting friends & relatives;39856;2014-10-01
Australia;10;2014;Business;13504;2014-10-01
Australia;10;2014;Education;528;2014-10-01
Australia;10;2014;Conferences & conventions;4752;2014-10-01
Australia;10;2013;Holiday;29504;2013-10-01
Australia;10;2013;Visiting friends & relatives;36224;2013-10-01
Australia;10;2013;Business;14304;2013-10-01
Australia;10;2013;Education;752;2013-10-01
Australia;10;2013;Conferences & conventions;4576;2013-10-01
Australia;9;2017;Holiday;55472;2017-09-01
Australia;9;2017;Visiting friends & relatives;44096;2017-09-01
Australia;9;2017;Business;15120;2017-09-01
Australia;9;2017;Education;1296;2017-09-01
Australia;9;2017;Conferences & conventions;4592;2017-09-01
Australia;9;2016;Holiday;52768;2016-09-01
Australia;9;2016;Visiting friends & relatives;43344;2016-09-01
Australia;9;2016;Business;14544;2016-09-01
Australia;9;2016;Education;832;2016-09-01
Australia;9;2016;Conferences & conventions;4848;2016-09-01
Australia;9;2015;Holiday;48016;2015-09-01
Australia;9;2015;Visiting friends & relatives;40656;2015-09-01
Australia;9;2015;Business;14992;2015-09-01
Australia;9;2015;Education;880;2015-09-01
Australia;9;2015;Conferences & conventions;3632;2015-09-01
Australia;9;2014;Holiday;41856;2014-09-01
Australia;9;2014;Visiting friends & relatives;37264;2014-09-01
Australia;9;2014;Business;14832;2014-09-01
Australia;9;2014;Education;704;2014-09-01
Australia;9;2014;Conferences & conventions;3408;2014-09-01
Australia;9;2013;Holiday;43232;2013-09-01
Australia;9;2013;Visiting friends & relatives;36288;2013-09-01
Australia;9;2013;Business;14400;2013-09-01
Australia;9;2013;Education;864;2013-09-01
Australia;9;2013;Conferences & conventions;3008;2013-09-01
Australia;8;2017;Holiday;46448;2017-08-01
Australia;8;2017;Visiting friends & relatives;36944;2017-08-01
Australia;8;2017;Business;18160;2017-08-01
Australia;8;2017;Education;528;2017-08-01
Australia;8;2017;Conferences & conventions;3632;2017-08-01
Australia;8;2016;Holiday;44176;2016-08-01
Australia;8;2016;Visiting friends & relatives;33744;2016-08-01
Australia;8;2016;Business;18128;2016-08-01
Australia;8;2016;Education;448;2016-08-01
Australia;8;2016;Conferences & conventions;4592;2016-08-01
Australia;8;2015;Holiday;43792;2015-08-01
Australia;8;2015;Visiting friends & relatives;33568;2015-08-01
Australia;8;2015;Business;15952;2015-08-01
Australia;8;2015;Education;512;2015-08-01
Australia;8;2015;Conferences & conventions;4272;2015-08-01
Australia;8;2014;Holiday;41920;2014-08-01
Australia;8;2014;Visiting friends & relatives;32096;2014-08-01
Australia;8;2014;Business;15792;2014-08-01
Australia;8;2014;Education;288;2014-08-01
Australia;8;2014;Conferences & conventions;4288;2014-08-01
Australia;8;2013;Holiday;44208;2013-08-01
Australia;8;2013;Visiting friends & relatives;33248;2013-08-01
Australia;8;2013;Business;14224;2013-08-01
Australia;8;2013;Education;528;2013-08-01
Australia;8;2013;Conferences & conventions;3536;2013-08-01
Australia;7;2017;Holiday;53776;2017-07-01
Australia;7;2017;Visiting friends & relatives;38560;2017-07-01
Australia;7;2017;Business;16400;2017-07-01
Australia;7;2017;Education;608;2017-07-01
Australia;7;2017;Conferences & conventions;3056;2017-07-01
Australia;7;2016;Holiday;52384;2016-07-01
Australia;7;2016;Visiting friends & relatives;36272;2016-07-01
Australia;7;2016;Business;14928;2016-07-01
Australia;7;2016;Education;784;2016-07-01
Australia;7;2016;Conferences & conventions;2880;2016-07-01
Australia;7;2015;Holiday;47328;2015-07-01
Australia;7;2015;Visiting friends & relatives;35744;2015-07-01
Australia;7;2015;Business;14128;2015-07-01
Australia;7;2015;Education;416;2015-07-01
Australia;7;2015;Conferences & conventions;3792;2015-07-01
Australia;7;2014;Holiday;45840;2014-07-01
Australia;7;2014;Visiting friends & relatives;32944;2014-07-01
Australia;7;2014;Business;13552;2014-07-01
Australia;7;2014;Education;656;2014-07-01
Australia;7;2014;Conferences & conventions;3136;2014-07-01
Australia;7;2013;Holiday;43120;2013-07-01
Australia;7;2013;Visiting friends & relatives;31440;2013-07-01
Australia;7;2013;Business;13392;2013-07-01
Australia;7;2013;Education;528;2013-07-01
Australia;7;2013;Conferences & conventions;3744;2013-07-01
Australia;6;2017;Holiday;42720;2017-06-01
Australia;6;2017;Visiting friends & relatives;38256;2017-06-01
Australia;6;2017;Business;16176;2017-06-01
Australia;6;2017;Education;688;2017-06-01
Australia;6;2017;Conferences & conventions;2928;2017-06-01
Australia;6;2016;Holiday;37456;2016-06-01
Australia;6;2016;Visiting friends & relatives;36480;2016-06-01
Australia;6;2016;Business;15408;2016-06-01
Australia;6;2016;Education;864;2016-06-01
Australia;6;2016;Conferences & conventions;2752;2016-06-01
Australia;6;2015;Holiday;34800;2015-06-01
Australia;6;2015;Visiting friends & relatives;34320;2015-06-01
Australia;6;2015;Business;15776;2015-06-01
Australia;6;2015;Education;704;2015-06-01
Australia;6;2015;Conferences & conventions;3152;2015-06-01
Australia;6;2014;Holiday;31088;2014-06-01
Australia;6;2014;Visiting friends & relatives;30976;2014-06-01
Australia;6;2014;Business;15072;2014-06-01
Australia;6;2014;Education;656;2014-06-01
Australia;6;2014;Conferences & conventions;2816;2014-06-01
Australia;6;2013;Holiday;32912;2013-06-01
Australia;6;2013;Visiting friends & relatives;31728;2013-06-01
Australia;6;2013;Business;13584;2013-06-01
Australia;6;2013;Education;688;2013-06-01
Australia;6;2013;Conferences & conventions;1936;2013-06-01
Australia;5;2017;Holiday;24208;2017-05-01
Australia;5;2017;Visiting friends & relatives;35024;2017-05-01
Australia;5;2017;Business;18272;2017-05-01
Australia;5;2017;Education;416;2017-05-01
Australia;5;2017;Conferences & conventions;4304;2017-05-01
Australia;5;2016;Holiday;20240;2016-05-01
Australia;5;2016;Visiting friends & relatives;32912;2016-05-01
Australia;5;2016;Business;17216;2016-05-01
Australia;5;2016;Education;336;2016-05-01
Australia;5;2016;Conferences & conventions;2480;2016-05-01
Australia;5;2015;Holiday;19408;2015-05-01
Australia;5;2015;Visiting friends & relatives;34448;2015-05-01
Australia;5;2015;Business;14880;2015-05-01
Australia;5;2015;Education;416;2015-05-01
Australia;5;2015;Conferences & conventions;3440;2015-05-01
Australia;5;2014;Holiday;18704;2014-05-01
Australia;5;2014;Visiting friends & relatives;32144;2014-05-01
Australia;5;2014;Business;14656;2014-05-01
Australia;5;2014;Education;224;2014-05-01
Australia;5;2014;Conferences & conventions;2816;2014-05-01
Australia;5;2013;Holiday;17664;2013-05-01
Australia;5;2013;Visiting friends & relatives;32096;2013-05-01
Australia;5;2013;Business;14912;2013-05-01
Australia;5;2013;Education;336;2013-05-01
Australia;5;2013;Conferences & conventions;4032;2013-05-01
Australia;4;2017;Holiday;56176;2017-04-01
Australia;4;2017;Visiting friends & relatives;49872;2017-04-01
Australia;4;2017;Business;13488;2017-04-01
Australia;4;2017;Education;480;2017-04-01
Australia;4;2017;Conferences & conventions;3248;2017-04-01
Australia;4;2016;Holiday;37392;2016-04-01
Australia;4;2016;Visiting friends & relatives;41344;2016-04-01
Australia;4;2016;Business;15184;2016-04-01
Australia;4;2016;Education;960;2016-04-01
Australia;4;2016;Conferences & conventions;3568;2016-04-01
Australia;4;2015;Holiday;41840;2015-04-01
Australia;4;2015;Visiting friends & relatives;44688;2015-04-01
Australia;4;2015;Business;13344;2015-04-01
Australia;4;2015;Education;656;2015-04-01
Australia;4;2015;Conferences & conventions;2304;2015-04-01
Australia;4;2014;Holiday;43104;2014-04-01
Australia;4;2014;Visiting friends & relatives;45104;2014-04-01
Australia;4;2014;Business;11920;2014-04-01
Australia;4;2014;Education;544;2014-04-01
Australia;4;2014;Conferences & conventions;2192;2014-04-01
Australia;4;2013;Holiday;34608;2013-04-01
Australia;4;2013;Visiting friends & relatives;36480;2013-04-01
Australia;4;2013;Business;14592;2013-04-01
Australia;4;2013;Education;880;2013-04-01
Australia;4;2013;Conferences & conventions;2480;2013-04-01
Australia;3;2017;Holiday;47088;2017-03-01
Australia;3;2017;Visiting friends & relatives;48128;2017-03-01
Australia;3;2017;Business;18928;2017-03-01
Australia;3;2017;Education;512;2017-03-01
Australia;3;2017;Conferences & conventions;3664;2017-03-01
Australia;3;2016;Holiday;52624;2016-03-01
Australia;3;2016;Visiting friends & relatives;55344;2016-03-01
Australia;3;2016;Business;15952;2016-03-01
Australia;3;2016;Education;672;2016-03-01
Australia;3;2016;Conferences & conventions;2912;2016-03-01
Australia;3;2015;Holiday;41200;2015-03-01
Australia;3;2015;Visiting friends & relatives;45344;2015-03-01
Australia;3;2015;Business;17552;2015-03-01
Australia;3;2015;Education;560;2015-03-01
Australia;3;2015;Conferences & conventions;3648;2015-03-01
Australia;3;2014;Holiday;36000;2014-03-01
Australia;3;2014;Visiting friends & relatives;38832;2014-03-01
Australia;3;2014;Business;17072;2014-03-01
Australia;3;2014;Education;448;2014-03-01
Australia;3;2014;Conferences & conventions;3088;2014-03-01
Australia;3;2013;Holiday;44640;2013-03-01
Australia;3;2013;Visiting friends & relatives;48000;2013-03-01
Australia;3;2013;Business;13840;2013-03-01
Australia;3;2013;Education;512;2013-03-01
Australia;3;2013;Conferences & conventions;3328;2013-03-01
Australia;2;2017;Holiday;51520;2017-02-01
Australia;2;2017;Visiting friends & relatives;46192;2017-02-01
Australia;2;2017;Business;17232;2017-02-01
Australia;2;2017;Education;352;2017-02-01
Australia;2;2017;Conferences & conventions;2752;2017-02-01
Australia;2;2016;Holiday;50480;2016-02-01
Australia;2;2016;Visiting friends & relatives;46112;2016-02-01
Australia;2;2016;Business;18192;2016-02-01
Australia;2;2016;Education;528;2016-02-01
Australia;2;2016;Conferences & conventions;2048;2016-02-01
Australia;2;2015;Holiday;42672;2015-02-01
Australia;2;2015;Visiting friends & relatives;42544;2015-02-01
Australia;2;2015;Business;14608;2015-02-01
Australia;2;2015;Education;464;2015-02-01
Australia;2;2015;Conferences & conventions;2464;2015-02-01
Australia;2;2014;Holiday;41232;2014-02-01
Australia;2;2014;Visiting friends & relatives;41984;2014-02-01
Australia;2;2014;Business;14848;2014-02-01
Australia;2;2014;Education;496;2014-02-01
Australia;2;2014;Conferences & conventions;2400;2014-02-01
Australia;2;2013;Holiday;35232;2013-02-01
Australia;2;2013;Visiting friends & relatives;38096;2013-02-01
Australia;2;2013;Business;14416;2013-02-01
Australia;2;2013;Education;544;2013-02-01
Australia;2;2013;Conferences & conventions;2752;2013-02-01
Australia;1;2017;Holiday;59136;2017-01-01
Australia;1;2017;Visiting friends & relatives;49888;2017-01-01
Australia;1;2017;Business;10272;2017-01-01
Australia;1;2017;Education;432;2017-01-01
Australia;1;2017;Conferences & conventions;1488;2017-01-01
Australia;1;2016;Holiday;55936;2016-01-01
Australia;1;2016;Visiting friends & relatives;49408;2016-01-01
Australia;1;2016;Business;9648;2016-01-01
Australia;1;2016;Education;416;2016-01-01
Australia;1;2016;Conferences & conventions;1504;2016-01-01
Australia;1;2015;Holiday;53072;2015-01-01
Australia;1;2015;Visiting friends & relatives;48448;2015-01-01
Australia;1;2015;Business;9904;2015-01-01
Australia;1;2015;Education;528;2015-01-01
Australia;1;2015;Conferences & conventions;1728;2015-01-01
Australia;1;2014;Holiday;47936;2014-01-01
Australia;1;2014;Visiting friends & relatives;46128;2014-01-01
Australia;1;2014;Business;8528;2014-01-01
Australia;1;2014;Education;448;2014-01-01
Australia;1;2014;Conferences & conventions;1504;2014-01-01
Australia;1;2013;Holiday;44336;2013-01-01
Australia;1;2013;Visiting friends & relatives;40720;2013-01-01
Australia;1;2013;Business;9072;2013-01-01
Australia;1;2013;Education;304;2013-01-01
Australia;1;2013;Conferences & conventions;1856;2013-01-01
Australia;11;2016;Holiday;42176;2016-11-01
Australia;11;2016;Visiting friends & relatives;40416;2016-11-01
Australia;11;2016;Business;19168;2016-11-01
Australia;11;2016;Education;672;2016-11-01
Australia;11;2016;Conferences & conventions;5328;2016-11-01
Australia;11;2015;Holiday;40864;2015-11-01
Australia;11;2015;Visiting friends & relatives;39408;2015-11-01
Australia;11;2015;Business;19536;2015-11-01
Australia;11;2015;Education;672;2015-11-01
Australia;11;2015;Conferences & conventions;5024;2015-11-01
Australia;11;2014;Holiday;37680;2014-11-01
Australia;11;2014;Visiting friends & relatives;39536;2014-11-01
Australia;11;2014;Business;16176;2014-11-01
Australia;11;2014;Education;640;2014-11-01
Australia;11;2014;Conferences & conventions;4320;2014-11-01
Australia;11;2013;Holiday;36976;2013-11-01
Australia;11;2013;Visiting friends & relatives;38464;2013-11-01
Australia;11;2013;Business;15088;2013-11-01
Australia;11;2013;Education;656;2013-11-01
Australia;11;2013;Conferences & conventions;4512;2013-11-01
Australia;12;2016;Holiday;76384;2016-12-01
Australia;12;2016;Visiting friends & relatives;97632;2016-12-01
Australia;12;2016;Business;10528;2016-12-01
Australia;12;2016;Education;368;2016-12-01
Australia;12;2016;Conferences & conventions;2192;2016-12-01
Australia;12;2015;Holiday;68752;2015-12-01
Australia;12;2015;Visiting friends & relatives;90448;2015-12-01
Australia;12;2015;Business;10720;2015-12-01
Australia;12;2015;Education;416;2015-12-01
Australia;12;2015;Conferences & conventions;1392;2015-12-01
Australia;12;2014;Holiday;62128;2014-12-01
Australia;12;2014;Visiting friends & relatives;87968;2014-12-01
Australia;12;2014;Business;10624;2014-12-01
Australia;12;2014;Education;368;2014-12-01
Australia;12;2014;Conferences & conventions;1648;2014-12-01
Australia;12;2013;Holiday;62464;2013-12-01
Australia;12;2013;Visiting friends & relatives;85888;2013-12-01
Australia;12;2013;Business;9840;2013-12-01
Australia;12;2013;Education;544;2013-12-01
Australia;12;2013;Conferences & conventions;1824;2013-12-01
